instance fatanode-results/gss-20210111 fatanode-results/gss-cliques-20210111 fatanode-results/gss-cliques-cliquesup-20210111 fatanode-results/gss-cliques-cliquesup-locallyinjective-20210111 fatanode-results/gss-cliques-cliquesup-noninjective-20210111 fatanode-results/gss-cliques-locallyinjective-20210111 fatanode-results/gss-cliques-noninjective-20210111 fatanode-results/gss-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-20210111 fatanode-results/gss-count-cliques-20210111 fatanode-results/gss-count-cliques-locallyinjective-20210111 fatanode-results/gss-count-cliques-noninjective-20210111 fatanode-results/gss-count-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-locallyinjective-20210111 fatanode-results/gss-count-noninjective-20210111 fatanode-results/gss-count-noninjective-nosupplementals-20210111 fatanode-results/gss-locallyinjective-20210111 fatanode-results/gss-noninjective-20210111 fatanode-results/gss-noninjective-nosupplementals-20210111
si4_b06m_m800.03 38 75 203 208 128 36 51 6941 15957 15908 6047 NaN NaN 6814 NaN NaN 40 38 940
si4_b06m_m800.02 74 56 207 194 197 36 31 71 43 93 57 NaN NaN 25 NaN NaN 25 31 4021
si6_m4Dr2_m625.08 77 97 123 94 95 36 34 140 46 59 52 NaN NaN 22 NaN NaN 40 20 2559
si6_m4Dr2_m625.09 48 90 204 93 119 58 154 378 80 92 46 NaN NaN 60 NaN NaN 42 51 1204
si6_m4Dr2_m625.05 76 98 113 140 114 59 68 3970 83 57 37 NaN NaN 23 NaN NaN 31 188 1534421
si6_m4Dr2_m625.01 66 82 160 103 121 33 226 NaN 59 93 36 NaN NaN 26 NaN NaN 23 211 NaN
si6_m4Dr2_m625.06 68 56 175 97 79 57 47 1576 47 56 35 NaN NaN 29 NaN NaN 40 1864 263694
si6_m4Dr2_m625.00 71 52 134 98 116 55 377 NaN 29726 30154 11271 NaN NaN 11278 NaN NaN 24 515 NaN
si6_m4Dr2_m625.03 43 92 120 135 476 34 381 NaN 79 117 52 NaN NaN 38 NaN NaN 24 417 NaN
si6_m4Dr2_m625.02 84 59 112 138 111 58 46 1388068 72 64 54 NaN NaN 22 NaN NaN 38 19 1380037
si6_m4Dr2_m625.07 75 81 121 139 140 56 116 569902 71 57 51 NaN NaN 22 NaN NaN 40 154 566696
si6_m4Dr2_m625.04 83 105 143 91 72 60 40 1064 78 58 51 NaN NaN 35 NaN NaN 43 29 13722
si2_m4D_m1296.01 360 413 379 442 181 410 126 98 NaN NaN NaN NaN NaN NaN NaN NaN 350 84 108
si2_m4D_m1296.08 101 104 134 126 176 68 89 47 106 146 108 NaN NaN 53 NaN NaN 34 47 20
si2_m4D_m1296.06 264 424 361 605 137 495 124 102 NaN NaN NaN NaN NaN NaN NaN NaN 531 84 121
si2_m4D_m1296.05 63 127 165 168 127 96 94 78 181 166 154 NaN NaN 82 NaN NaN 62 48 23
si2_m4D_m1296.09 106 128 186 135 139 61 94 55 118 171 117 NaN NaN 89 NaN NaN 57 31 33
si2_m4D_m1296.03 155 182 255 227 168 222 119 129 NaN NaN NaN NaN NaN NaN NaN NaN 165 131 132
si2_m4D_m1296.07 61 141 215 136 125 102 95 49 110 132 187 NaN NaN 100 NaN NaN 59 30 32
si2_m4D_m1296.02 99 98 172 148 125 122 71 61 144 186 194 NaN NaN 174 NaN NaN 78 48 32
si2_m4D_m1296.04 110 138 202 217 166 79 93 54 159 189 181 NaN NaN 244 NaN NaN 51 47 21
si2_m4D_m1296.00 83 77 135 128 127 60 61 72 130 150 134 NaN NaN 65 NaN NaN 58 30 30
si4_b03_m800.05 51 110 136 77 34 62 31 40 8588 8636 3809 NaN NaN 3794 NaN NaN 44 29 24
si4_b03_m800.00 90 97 75 46 35 61 47 25 8800 8619 3811 NaN NaN 3924 NaN NaN 43 19 23
si4_b03_m800.08 52 110 74 77 54 41 28 39 8681 8685 3863 NaN NaN 3812 NaN NaN 43 20 24
si4_b03_m800.09 86 110 109 80 55 36 29 39 8700 8686 3925 NaN NaN 3878 NaN NaN 43 30 24
si4_b03_m800.03 89 101 74 77 34 35 28 38 9049 8567 3770 NaN NaN 3888 NaN NaN 43 29 16
si4_b03_m800.02 90 110 75 78 41 36 29 25 8648 8881 3991 NaN NaN 3893 NaN NaN 43 29 23
